library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,0,8456897,388101,707725,2558424,0.01269,0.01269
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,1,8456897,388101,1541418,3300236,0.02143,0.02143
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,2,8456897,388101,1559358,2323503,0.0308,0.0308
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,3,8456897,388101,1052606,1128623,0.0428,0.0428
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,4,8456897,388101,808948,627896,0.05912,0.05912
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,0,15667763,388101,450021,2558424,0.004357,0.004357
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,1,15667763,388101,1333019,3300236,0.01001,0.01001
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,2,15667763,388101,1532367,2323503,0.01634,0.01634
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,3,15667763,388101,1061564,1128623,0.0233,0.0233
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,4,15667763,388101,900693,627896,0.03553,0.03553
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,0,12301458,388101,322301,2558424,0.003974,0.003974
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,1,12301458,388101,972693,3300236,0.009299,0.009299
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,2,12301458,388101,1086634,2323503,0.01475,0.01475
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,3,12301458,388101,783410,1128623,0.0219,0.0219
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,4,12301458,388101,714791,627896,0.03592,0.03592
